,word,vector
562,abrasive,"[-0.0907895   0.26142953 -0.09870335 -0.00057157 -0.00104696  0.05476814
 -0.08903957  0.01665897 -0.0454301  -0.06358094 -0.06318701  0.05372525
 -0.3259473   0.07362601 -0.0453089   0.05918464  0.01778367 -0.11821776
 -0.14616115 -0.04759669 -0.08600433  0.0265495   0.16449885  0.10530916
 -0.10707929  0.19450024 -0.15709761  0.1023825  -0.25620246  0.07985305
  0.03268059  0.04530637 -0.05974017 -0.02675657  0.17445554 -0.03604662
 -0.07258817  0.01267856 -0.02961252  0.12452056  0.02390592 -0.0974837
  0.08690581 -0.04350341  0.08116613 -0.14140123  0.06047752  0.0344987
 -0.03727132  0.09602416 -0.06042954  0.04540485  0.08606746  0.11944246
 -0.0413646   0.03338258 -0.17990736 -0.03224373  0.08591343  0.06796713
 -0.00083749  0.08438318  0.08614574 -0.10820299 -0.08734772 -0.13051275
  0.044516   -0.08221912 -0.05147786 -0.08860777  0.02660253  0.07091904
  0.00064674 -0.21696909 -0.0501168   0.02168151  0.01400351 -0.14956507
 -0.06855044 -0.03948588  0.08589828  0.10608186 -0.07198213  0.0577554
  0.06213907  0.0514526  -0.06544703  0.18128609 -0.04644269 -0.03119579
  0.06681061 -0.10802875  0.16251912 -0.06690657 -0.14458798  0.03424366
 -0.06352033  0.11042765 -0.13818166  0.01862303]"
406,acacia,"[-0.03244256  0.02993573  0.04578123  0.19594409 -0.00194504  0.05643654
 -0.2264523   0.05838349  0.07327318  0.00701182  0.03997063  0.16552414
  0.07224169  0.01123863  0.01457671 -0.00434736 -0.17067147 -0.10205889
 -0.15868962  0.11950584  0.14004725  0.00452642 -0.05985884 -0.02246087
 -0.05210885  0.08094247  0.1407761   0.27683612  0.01889431 -0.02719687
 -0.12151081 -0.20195141  0.02229846  0.12419165 -0.07178522 -0.04162251
  0.0789022   0.12601251 -0.09811201 -0.02608721  0.10540049  0.1741997
 -0.12581076 -0.0495667  -0.09128505 -0.06490025 -0.1115213   0.02133633
 -0.04082809 -0.10578131  0.00399832 -0.06579303  0.15208459  0.01177178
  0.03123706 -0.03984453  0.01389754  0.15049827 -0.14092994  0.04896395
  0.14970133 -0.15967571  0.17313543  0.11225267  0.07429962  0.08427399
 -0.07348754 -0.04200585 -0.12523827  0.00767131 -0.00910934  0.08953481
  0.17768002 -0.06643361  0.05944524 -0.04777359 -0.00040319  0.15618026
  0.0361675  -0.0111196   0.13013088  0.02655882  0.02785006  0.09748909
 -0.00987576 -0.01096097  0.05710738  0.17313291  0.02968353  0.07696029
 -0.13161884  0.11031832  0.21026128  0.00746653  0.04460852 -0.09226862
 -0.09737055  0.00184464 -0.04350894  0.02256806]"
509,acid_driven,"[ 0.00567693  0.06140686 -0.0996261  -0.21756827 -0.00142776  0.11148622
 -0.06664156 -0.11885408  0.07793141  0.0878682  -0.01444681 -0.04129119
 -0.01430935  0.08220041  0.01098077  0.05169604 -0.09273706  0.06054607
 -0.08587761 -0.18368797 -0.19097782  0.04148756 -0.07121991  0.09074109
  0.11293343 -0.19157768 -0.04142569 -0.02114593 -0.2671446  -0.11684197
 -0.08551984  0.04947142 -0.09607802  0.13121184  0.15109887 -0.04353464
  0.06372294 -0.1094795  -0.02925622 -0.0301493  -0.05027573  0.07465501
 -0.03803363 -0.09735845  0.06396503 -0.08466981 -0.09057432 -0.00911419
  0.05382919 -0.02073221 -0.19646538  0.06380095  0.13289577 -0.00364923
 -0.05961803  0.0944452  -0.08747008 -0.04031204  0.06561399  0.1368339
  0.03784802 -0.0683766   0.09660256 -0.05269671  0.02502704  0.00752549
 -0.17822462  0.00595777 -0.07843175 -0.15286887 -0.04299664 -0.05561803
  0.09886752  0.02748622 -0.17096975 -0.00428191  0.01368447 -0.04173235
  0.0556799  -0.02887425  0.25461199  0.13945932  0.08346739  0.10135038
  0.17707869  0.18073707 -0.01842851 -0.04664963 -0.0966994   0.05623672
  0.06896571 -0.02636826  0.1569684  -0.13782112 -0.07357902 -0.08872092
 -0.1416678  -0.14082045  0.00364438 -0.03912038]"
215,aggressive,"[ 0.02204194  0.18474267 -0.07606833  0.07439507 -0.01718631 -0.05395532
 -0.15275981  0.01650215  0.27427131  0.09833514 -0.12788367  0.07698849
 -0.09545268  0.12478642  0.02429912  0.01023313  0.18820851 -0.18333458
  0.03649084 -0.14689413 -0.03142598  0.09207964  0.15181048 -0.0744428
  0.08277462  0.08573133  0.07924513  0.03585442 -0.23110335 -0.09469427
  0.04668685  0.11320619 -0.02133101  0.03807394  0.06257618 -0.01249137
  0.07388328  0.05620666  0.10526948 -0.09890261  0.07874925  0.21482686
  0.12866064  0.07760634 -0.00988125 -0.05357346  0.04299295  0.03788566
  0.03450998 -0.16159547 -0.10616047  0.07410337  0.02525481  0.08185976
 -0.13664243 -0.02178048 -0.0301664   0.00750925  0.00634884  0.00188325
 -0.16370627  0.06770468  0.0853866  -0.05622257 -0.14405409 -0.04197202
 -0.01575807 -0.01477586  0.09368926 -0.09160232 -0.10829249 -0.04407222
  0.01859147 -0.09553223 -0.13926237 -0.06917906  0.07970389  0.05414359
 -0.08774667 -0.06662807  0.01732977  0.06341944 -0.19141449  0.15343866
  0.08626168 -0.0435949   0.10219079  0.12499856  0.12840872  0.01961956
 -0.02872649 -0.20484299  0.06604998  0.09830066 -0.09024197 -0.08818156
 -0.05708704  0.03975781  0.09773319  0.15073917]"
566,airy,"[ 0.14664417  0.09893101 -0.03597007 -0.12767564  0.04681805 -0.03706721
 -0.09981209  0.03758071  0.09110509  0.07938163 -0.05007581 -0.10822166
  0.0115405  -0.09353227  0.05436618  0.1763737  -0.01421826 -0.03132053
  0.07429436  0.16511043  0.01035328 -0.07188682  0.12325058  0.14778621
 -0.01358383  0.0155079   0.03630679 -0.09861954 -0.07966504  0.02202426
 -0.01064202  0.07106466  0.02466218 -0.02857907 -0.07984462  0.01885068
 -0.1889165  -0.03249063 -0.07065218  0.17327307  0.09981209  0.04375109
 -0.03783886  0.02604694 -0.00965571  0.04828839  0.09197495  0.14260073
  0.01849881 -0.12000685 -0.19478665 -0.10349917  0.00075717 -0.08316412
 -0.01114009 -0.00729559  0.01789244  0.013645   -0.03725241  0.18748825
  0.04903478 -0.09751959 -0.05328587 -0.0759976  -0.1694962   0.03557442
 -0.23884079 -0.14970551  0.12690399  0.00929346  0.04203382  0.12137617
 -0.12258275 -0.12294473 -0.02470848  0.01079158  0.12371076 -0.13031047
  0.10296042  0.11515247  0.15959384 -0.24526371  0.22970166 -0.00996662
  0.08914931  0.0259521   0.07813297  0.0612577  -0.1851228   0.0215175
  0.06699877 -0.02473345  0.19681258 -0.00745385 -0.12266132 -0.14521311
 -0.00063233  0.04078796 -0.06353056 -0.07002644]"
431,allspice,"[-0.02773794 -0.08119637 -0.01235316 -0.10741799  0.06162948  0.19231431
 -0.11285496  0.07343297 -0.03972837 -0.07167777 -0.10698178  0.01957572
  0.08261404 -0.01714829 -0.09183665  0.04177179  0.04742167 -0.02071816
  0.08474573  0.02685774  0.09183665 -0.15340122 -0.00720387  0.11656011
 -0.09086817 -0.0932699   0.22718472  0.03763303  0.03632702  0.0304798
  0.10197062 -0.17549706  0.07262547 -0.11860092 -0.00649036 -0.00117222
  0.02083864  0.01298747  0.06488024 -0.10496174 -0.04260525 -0.09909375
 -0.19090443  0.17390803  0.18895969  0.10014791  0.05359864  0.03016303
  0.04503553 -0.03693459 -0.08501836 -0.08937521 -0.0753154   0.03591158
 -0.10914982 -0.05237831 -0.13033431 -0.00048671  0.01687333  0.17409238
 -0.07647602  0.06905794  0.06370924  0.04009188 -0.12512322  0.0209277
  0.01706495  0.17078709 -0.01270913 -0.0108254  -0.07396784  0.16519952
  0.17514654 -0.20479288 -0.00908266 -0.26206031  0.03462893  0.0017671
  0.02597495 -0.05763873  0.06477898 -0.00233946 -0.02316844 -0.0561951
  0.28747962  0.04160821 -0.02906473  0.1997246  -0.06326785 -0.09173799
 -0.11384421 -0.12688881  0.10998069  0.05303262 -0.04309338 -0.04782932
 -0.06413506  0.12626826  0.01140104 -0.10264051]"
97,almond,"[-0.05463648  0.00142438  0.08950592  0.15673767 -0.00971584  0.11886046
 -0.06204663 -0.0265057  -0.0735135   0.02408241  0.04042011  0.21072651
 -0.10882397 -0.0013763  -0.05080227 -0.0430822   0.14139687 -0.02466091
  0.09527909  0.12766921  0.06751783 -0.06186783 -0.02012065  0.06390215
 -0.09659424  0.02317133  0.02930726 -0.056937   -0.15494573 -0.03010787
  0.09710679 -0.25227105  0.12005244  0.01370779 -0.13745935 -0.08680012
  0.10001523  0.04948314 -0.01258653 -0.05897132  0.17198312 -0.10384546
 -0.16480739  0.10654729  0.16946009 -0.01033528 -0.06036594  0.02567608
  0.07713712 -0.01919925 -0.03930958 -0.16774761  0.07008059  0.05886404
  0.01150779 -0.03114808 -0.06466899  0.1984928   0.1302876   0.07134806
  0.09138131 -0.15953486  0.09046745  0.15478282 -0.06732314  0.04891894
 -0.10674993  0.0098708  -0.10199789 -0.12839234 -0.0638942  -0.03978041
  0.21231184  0.03323881 -0.0586773   0.02874305  0.05785483  0.06683443
  0.14166705 -0.14951029 -0.01041236 -0.00341121  0.14923613 -0.03764954
  0.13613625  0.05622579  0.24986722  0.07178512 -0.04214053  0.08596971
  0.0403168   0.1286069   0.23048559 -0.01818289 -0.04922488 -0.04973743
 -0.01145415 -0.03057155  0.02141117  0.09164752]"
607,alpine_herbs,"[-0.01667931 -0.11990009 -0.00413691  0.04389685  0.02560806  0.04303487
  0.08478649  0.08401598 -0.08879425 -0.06087022  0.10375266  0.21208402
  0.05828153 -0.13665728 -0.05665459  0.0478658  -0.01400858 -0.26543485
  0.00221776  0.0533342   0.09902982 -0.04050993 -0.07212298  0.09825377
  0.01996949 -0.07253041  0.0252084   0.14822877  0.0215665   0.0908979
  0.0829406  -0.22333678  0.11416285  0.05549052 -0.06353929  0.04880261
  0.07678484  0.14511902 -0.18138838 -0.01939161 -0.06317898  0.02354266
  0.00205416  0.0935836   0.11274932 -0.09093948 -0.0331707  -0.04107534
 -0.01875137 -0.09212296 -0.11836461 -0.09570389 -0.04169064 -0.07333972
 -0.0918652  -0.18370545  0.08140789  0.09536298  0.11550431  0.17781023
  0.10026319 -0.02003435  0.14614452  0.05331203  0.03741681 -0.05598941
 -0.01381512 -0.06404372  0.01042127 -0.22392159  0.02767541  0.03324553
  0.16986955  0.01117793  0.00766269 -0.10257472  0.08795722  0.08351709
  0.10807638  0.00986307  0.09350599 -0.08950932  0.06443452 -0.0015809
  0.17634404 -0.00636557  0.09509413  0.15197045  0.02399471 -0.06415459
  0.06415181  0.12236128  0.22272426  0.02559836 -0.05871668  0.03616681
 -0.12755529  0.25945925 -0.08884137 -0.01526356]"
417,american_oak,"[ 0.04695952 -0.05517673 -0.00971304 -0.00817064 -0.18838283  0.01219797
 -0.17429651 -0.14103013  0.13259767 -0.00308216 -0.03318072  0.11890233
 -0.04175376  0.02526224 -0.05850446  0.0005023  -0.07252489  0.09762898
 -0.01500996 -0.02848455 -0.09317662 -0.1536316  -0.16480533 -0.04157364
  0.01416474 -0.07603493 -0.0144046  -0.14924733 -0.22479244 -0.04364057
  0.01829245  0.2202017   0.05691857  0.15815644 -0.02926871 -0.07098293
  0.08149989 -0.05790261 -0.09640991 -0.08898126 -0.07044038  0.03019564
 -0.09144576 -0.00031243 -0.01118844 -0.10343     0.15568535 -0.01720297
  0.0874393  -0.01732883  0.0407785   0.07400974  0.18169222  0.06260538
 -0.00770519 -0.22369418 -0.1031137  -0.18306724 -0.08215446  0.0453275
 -0.07350014 -0.01178722 -0.01239236  0.16594752  0.1144961  -0.08278266
 -0.04474103 -0.06602537 -0.17411859  0.01956819 -0.08076186 -0.15138016
 -0.05711846 -0.08098151 -0.11131114 -0.08335376  0.05433326 -0.02525346
  0.16423643 -0.17269305  0.1694378   0.09130299 -0.17224715  0.00048614
  0.12362925 -0.00528726  0.12924577  0.04284543  0.0689116   0.07275552
 -0.08698901 -0.20409458  0.08325052 -0.00419514 -0.08578092  0.05772909
 -0.06096457 -0.050452   -0.02857241  0.05932377]"
276,angular,"[-0.09224836  0.06532174 -0.07935781 -0.0390087   0.15146058  0.04584504
 -0.22827716 -0.00406046  0.06076857 -0.03124278  0.06825272 -0.01414615
 -0.22841936  0.07409099 -0.05291311  0.08065345 -0.08774523 -0.07220021
 -0.03165622  0.06594849 -0.07441227  0.08481951  0.08295505 -0.10939186
 -0.04625058 -0.10241332 -0.17179841 -0.11348944 -0.07589488 -0.08114327
  0.06436318  0.20119253  0.12421006 -0.05111712 -0.03797904  0.17837667
  0.10494929 -0.09421025 -0.1805782   0.11624662  0.1430363   0.0754235
 -0.02101093  0.0272874  -0.03437127 -0.08272858  0.06680435  0.18325111
  0.04159998  0.01376984 -0.13192068 -0.07386715 -0.07754603  0.15177133
  0.02434667 -0.15973739 -0.05505407  0.02134195  0.02080815  0.1577597
 -0.0423031   0.17388144 -0.06347835 -0.13226039  0.00285172 -0.06683595
 -0.07212384  0.09571919 -0.01414694 -0.07390929  0.00123586  0.08932527
  0.13211029 -0.00564761 -0.06453698 -0.07700091  0.13009309 -0.08427702
  0.15900267 -0.05471173  0.09395481  0.00532081 -0.08933844  0.3108214
  0.02799842 -0.12056542 -0.03182213  0.02642627  0.05925173  0.08464834
  0.06645674 -0.04443616 -0.03807911  0.13067771 -0.12737541 -0.06216428
  0.01932317  0.06809472 -0.03853732 -0.07668227]"
