word,word_vec_idf
abrasive,"[-0.78295949  2.25454181 -0.85120767 -0.00492916 -0.00902884  0.47231486
 -0.76786824  0.14366525 -0.39178462 -0.54831554 -0.54491838  0.46332108
 -2.81093651  0.63494326 -0.39073934  0.51040231  0.15336459 -1.01949801
 -1.26047898 -0.41046903 -0.74169265  0.22896023  1.41862138  0.90817552
 -0.92344099  1.67735036 -1.35479387  0.88293633 -2.20946404  0.6886446
  0.28183406  0.39071756 -0.51519318 -0.23074592  1.50448691 -0.3108624
 -0.62599304  0.10933864 -0.25537537  1.07385266  0.2061622  -0.84068953
  0.74946693 -0.375169    0.69996849 -1.2194299   0.52155198  0.29751328
 -0.3214241   0.82810259 -0.52113822  0.39156685  0.74223706  1.03005971
 -0.35672413  0.28788798 -1.55150281 -0.27806669  0.74090868  0.58614167
 -0.00722246  0.727712    0.74291214 -0.93313162 -0.75327785 -1.12552877
  0.38390145 -0.70904937 -0.44393982 -0.76414442  0.22941754  0.61159864
  0.00557745 -1.87111944 -0.43220218  0.18697911  0.12076487 -1.28983398
 -0.59117209 -0.34052227  0.74077802  0.91483919 -0.62076663  0.4980767
  0.53588105  0.44372205 -0.56440853  1.56339289 -0.40051708 -0.26902936
  0.57616794 -0.93162903  1.40154845 -0.57699546 -1.2469121   0.29531384
 -0.5477929   0.95231689 -1.19166461  0.16060317]"
acacia,"[-0.24907956  0.22983321  0.35148798  1.50437163 -0.01493316  0.43329466
 -1.73860014  0.44824253  0.5625589   0.05383364  0.30687671  1.27082082
  0.55463962  0.08628523  0.11191348 -0.03337713 -1.31033974 -0.78356279
 -1.21834836  0.91751276  1.07522056  0.03475187 -0.45956961 -0.17244461
 -0.40006856  0.62144034  1.08081633  2.12542473  0.14506213 -0.2088055
 -0.93290597 -1.55049317  0.17119767  0.95348834 -0.551135   -0.31955917
  0.60577606  0.96746809 -0.75326044 -0.20028599  0.80921814  1.33742791
 -0.96591908 -0.38055113 -0.70084607 -0.4982753  -0.856211    0.16381086
 -0.31345997 -0.81214188  0.03069735 -0.50512964  1.1676379   0.09037847
  0.23982427 -0.30590858  0.10669915  1.15545887 -1.08199744  0.37592349
  1.14934031 -1.22591911  1.32925693  0.86182613  0.57043944  0.64701824
 -0.56420471 -0.32250227 -0.96152379  0.05889694 -0.06993745  0.68740848
  1.3641482  -0.51004772  0.45639415 -0.36678437 -0.00309549  1.19908265
  0.27767802 -0.08537132  0.99908709  0.20390678  0.2138204   0.74847789
 -0.07582172 -0.08415342  0.43844509  1.32923756  0.22789696  0.59086691
 -1.01051099  0.84697507  1.6142927   0.0573247   0.3424844  -0.70839746
 -0.74756785  0.01416233 -0.33404234  0.17326752]"
acid_driven,"[ 0.04715822  0.51010601 -0.82759271 -1.8073368  -0.01186039  0.92611459
 -0.55359061 -0.98731926  0.64737521  0.72991997 -0.12000943 -0.3430054
 -0.11886757  0.68283773  0.09121709  0.42943829 -0.77036555  0.50295541
 -0.7133842  -1.52589361 -1.58645026  0.34463663 -0.59162287  0.7537851
  0.93813653 -1.59143334 -0.34412268 -0.17565899 -2.21916674 -0.97060473
 -0.71041223  0.41095846 -0.79811882  1.08997508  1.25517632 -0.36164166
  0.5293456  -0.90944475 -0.24303106 -0.25044981 -0.4176398   0.62015824
 -0.31594485 -0.80875534  0.53135671 -0.70335101 -0.75239967 -0.07571146
  0.44715838 -0.17222223 -1.63203535  0.52999362  1.10396345 -0.03031408
 -0.49524617  0.78455503 -0.72661281 -0.33487159  0.54505458  1.13667745
  0.314403   -0.56800354  0.80247622 -0.43775087  0.20789926  0.06251413
 -1.48050964  0.0494911  -0.6515315  -1.26987974 -0.35717253 -0.46201822
  0.82129124  0.22832764 -1.42024348 -0.03556977  0.11367668 -0.34667009
  0.46253217 -0.23985798  2.11505846  1.15848678  0.69336252  0.84191626
  1.4709904   1.50138046 -0.15308543 -0.3875179  -0.80328066  0.46715772
  0.57289723 -0.21904079  1.30393448 -1.14487829 -0.61121999 -0.73700353
 -1.17683254 -1.16979367  0.03027386 -0.32497248]"
aggressive,"[ 0.13881711  1.1634838  -0.47906781  0.46852986 -0.10823699 -0.33980314
 -0.96206022  0.10392829  1.72732287  0.61930111 -0.80539372  0.48486285
 -0.60114777  0.78588765  0.15303249  0.06444686  1.18531123 -1.15461589
  0.22981427 -0.92511893 -0.1979165   0.57990486  0.95608148 -0.46883046
  0.52130314  0.53992409  0.4990749   0.22580617 -1.45545698 -0.59637146
  0.29402733  0.71295698 -0.13433973  0.23978441  0.39409615 -0.07866893
  0.46530668  0.35398178  0.66297267 -0.622875    0.49595192  1.3529499
  0.81028694  0.48875405 -0.06223072 -0.33739828  0.27076366  0.23859868
  0.21733907 -1.01770597 -0.66858401  0.46669281  0.15905132  0.5155415
 -0.86055516 -0.13717045 -0.18998381  0.04729221  0.03998411  0.01186046
 -1.03099949  0.42639474  0.53775304 -0.35408198 -0.90723279 -0.26433401
 -0.09924216 -0.09305633  0.590042   -0.57689878 -0.68201113 -0.27756073
  0.11708654 -0.60164878 -0.87705516 -0.43568016  0.50196407  0.34098887
 -0.5526164  -0.41961437  0.10914049  0.39940688 -1.20550202  0.96633552
  0.54326417 -0.27455466  0.6435835   0.78722368  0.8087004   0.12356129
 -0.18091549 -1.29007287  0.41597368  0.61908401 -0.56833148 -0.55535526
 -0.35952632  0.25038917  0.61551012  0.94933451]"
airy,"[ 1.27229721  0.8583338  -0.31207933 -1.1077246   0.40619733 -0.32159825
 -0.86597815  0.3260534   0.79043542  0.68872176 -0.43446195 -0.93894029
  0.10012636 -0.8114939   0.47168555  1.53023312 -0.12335886 -0.27173957
  0.64458417  1.43251205  0.08982597 -0.62369611  1.06933244  1.28220565
 -0.11785444  0.13454785  0.31500074 -0.8556315  -0.69118061  0.19108438
 -0.09233108  0.616563    0.21397117 -0.24795444 -0.6927387   0.16355012
 -1.63905554 -0.28189146 -0.61298428  1.50333183  0.86597815  0.37958818
 -0.32829314  0.22598546 -0.08377379  0.41895415  0.79798239  1.23721598
  0.16049725 -1.04118955 -1.68998541 -0.89796756  0.00656927 -0.7215389
 -0.09665232 -0.06329716  0.15523628  0.11838516 -0.32320502  1.62666391
  0.42542993 -0.84608823 -0.4623127  -0.65936162 -1.47056338  0.30864668
 -2.07220286 -1.29885767  1.10102971  0.08063084  0.36468901  1.05306994
 -1.06353831 -1.06667883 -0.21437286  0.09362867  1.07332503 -1.13058461
  0.89329331  0.99907259  1.38464966 -2.1279287   1.992911   -0.08647122
  0.77346692  0.2251626   0.67788821  0.53147702 -1.60614102  0.18668766
  0.58128701 -0.21458954  1.70756254 -0.06467022 -1.06421998 -1.25988123
 -0.00548616  0.3538798  -0.55119652 -0.60755533]"
allspice,"[-0.21543954 -0.63064918 -0.09594652 -0.83431143  0.47867386  1.49369798
 -0.87654024  0.57035111 -0.30856879 -0.55671851 -0.83092345  0.15204389
  0.64166013 -0.13319015 -0.71329181  0.32443988  0.36832235 -0.16091718
  0.65821689  0.20860307  0.71329181 -1.1914615  -0.05595217  0.90531795
 -0.70576967 -0.72442376  1.7645351   0.29229436  0.28215057  0.23673544
  0.79200196 -1.36307907  0.56407931 -0.92116888 -0.05041039 -0.0091046
  0.16185291  0.10087322  0.50392241 -0.81523385 -0.33091335 -0.76965739
 -1.48274753  1.35073712  1.46764276  0.77784502  0.41629864  0.23427512
  0.34978927 -0.28686955 -0.66033438 -0.69417389 -0.58497188  0.27892392
 -0.84776254 -0.40682035 -1.01230164 -0.00378022  0.13105451  1.35216895
 -0.59398634  0.53637043  0.49482729  0.31139211 -0.97182732  0.16254462
  0.13254281  1.3264969  -0.09871136 -0.08408051 -0.57450543  1.28309842
  1.36035658 -1.59061855 -0.0705447  -2.03541256  0.26896163  0.01372497
  0.20174643 -0.44767783  0.50313591 -0.01817049 -0.17994838 -0.43646521
  2.23284334  0.32316939 -0.22574466  1.55125339 -0.49139897 -0.71252548
 -0.88422371 -0.98554059  0.85421584  0.41190232 -0.33470467 -0.3714885
 -0.4981346   0.98072078  0.08855144 -0.79720493]"
almond,"[-0.27447031  0.00715547  0.4496395   0.78738309 -0.04880825  0.59710417
 -0.31169576 -0.13315333 -0.3693004   0.12097971  0.20305334  1.05859992
 -0.54668514 -0.00691395 -0.25520889 -0.21642656  0.71031744 -0.12388589
  0.47864142  0.64135555  0.33918072 -0.31079756 -0.10107757  0.32101709
 -0.48524819  0.11640288  0.14722715 -0.28602717 -0.77838112 -0.15124909
  0.48782303 -1.26730195  0.60309218  0.06886209 -0.69053705 -0.43604672
  0.50243377  0.24858216 -0.06322937 -0.2962467   0.86396971 -0.52167523
 -0.82792191  0.53524805  0.8512951  -0.05192002 -0.30325267  0.12898568
  0.38750394 -0.09644884 -0.19747451 -0.84269233  0.35205493  0.29570778
  0.05781022 -0.15647463 -0.32486938  0.997143    0.6545092   0.35842218
  0.45906063 -0.80143495  0.45446983  0.77756276 -0.33820268  0.24574784
 -0.53626601  0.04958669 -0.51239382 -0.64498827 -0.32097717 -0.19983978
  1.06656397  0.16697759 -0.29476966  0.14439282  0.29063793  0.33574759
  0.71167472 -0.75107581 -0.05230724 -0.01713648  0.74969857 -0.18913522
  0.68389036  0.28245432  1.25522614  0.36061778 -0.21169603  0.43187508
  0.20253438  0.64606611  1.15786113 -0.09134307 -0.24728476 -0.2498596
 -0.05754076 -0.15357843  0.10756059  0.46039795]"
alpine_herbs,"[-0.1588434  -1.14185439 -0.03939741  0.41804646  0.24387539  0.40983757
  0.80745418  0.80011633 -0.84562157 -0.57969039  0.98807622  2.01975724
  0.55503731 -1.3014395  -0.53954336  0.45584432 -0.13340903 -2.52783757
  0.02112061  0.50792196  0.94309888 -0.38579158 -0.68685472  0.93570824
  0.19017709 -0.6907348   0.24006921  1.41163927  0.20538598  0.86565549
  0.78987501 -2.12692157  1.08721642  0.52845739 -0.60510892  0.46476588
  0.73125137  1.38202391 -1.7274309  -0.1846737  -0.60167755  0.22420572
  0.0195625   0.8912324   1.07375489 -0.86605142 -0.31589721 -0.39117619
 -0.17857642 -0.87732215 -1.12723148 -0.91142469 -0.39703592 -0.69844219
 -0.8748674  -1.74949725  0.77527848  0.90817809  1.09999168  1.69335476
  0.95484472 -0.19079474  1.39179011  0.5077108   0.35633459 -0.53320852
 -0.13156665 -0.60991284  0.09924578 -2.13249095  0.26356354  0.31660988
  1.61773264  0.10645166  0.07297468 -0.97685828  0.83765024  0.7953652
  1.02925266  0.0939298   0.89049334 -0.85243152  0.61363456 -0.01505553
  1.67939172 -0.06062175  0.90561776  1.44727273  0.22851077 -0.61096865
  0.61094225  1.16529329  2.12108824  0.24378301 -0.55918135  0.34443037
 -1.21475781  2.47092962 -0.84607029 -0.14536076]"
american_oak,"[ 0.36307333 -0.42660564 -0.07509754 -0.06317228 -1.45650502  0.09431008
 -1.34759491 -1.09039179  1.02519517 -0.02383014 -0.2565408   0.91930798
 -0.32282431  0.19531813 -0.45233444  0.00388361 -0.56073507  0.75483045
 -0.11605134 -0.22023176 -0.7204065  -1.18782158 -1.27421262 -0.32143172
  0.10951639 -0.58787344 -0.1113709  -1.1539241  -1.73801039 -0.33741245
  0.1414303   1.70251653  0.44007293  1.22280596 -0.22629459 -0.54881321
  0.63012642 -0.44768118 -0.74540504 -0.68796952 -0.54461848  0.23346129
 -0.70702412 -0.00241562 -0.08650482 -0.79968178  1.20370042 -0.13300688
  0.67604766 -0.13397998  0.31528398  0.57221538  1.40477569  0.48404116
 -0.05957364 -1.72951904 -0.79723627 -1.41540686 -0.63518727  0.35045517
 -0.56827539 -0.09113431 -0.09581305  1.28304363  0.88524067 -0.64004432
 -0.34592079 -0.51048324 -1.34621931  0.15129386 -0.62442023 -1.17041431
 -0.44161835 -0.6261185  -0.86061574 -0.64445982  0.42008428 -0.1952502
  1.2698141  -1.33519753  1.31002916  0.70592025 -1.33175004  0.00375861
  0.95585477 -0.04087908  0.99927955  0.33126471  0.53279852  0.56251826
 -0.67256621 -1.57798233  0.64366164 -0.03243528 -0.66322572  0.44633955
 -0.47135508 -0.39007583 -0.22091107  0.45866899]"
angular,"[-0.63051458  0.446472   -0.54240813 -0.26662325  1.03522826  0.31334937
 -1.56026709 -0.02775308  0.41535125 -0.21354339  0.46650519 -0.0966885
 -1.56123905  0.50640958 -0.36165942  0.55126377 -0.59973582 -0.4934861
 -0.21636928  0.45075583 -0.50860549  0.57973862  0.56699514 -0.74768985
 -0.31612125 -0.69999178 -1.17423665 -0.77569672 -0.51873908 -0.55461164
  0.43992026  1.37514455  0.84897177 -0.34938391 -0.25958553  1.21919884
  0.71732508 -0.64392404 -1.23424624  0.79454196  0.97764858  0.51551721
 -0.14360901  0.18650848 -0.23492653 -0.5654472   0.45660559  1.2525155
  0.28433454  0.09411641 -0.90167364 -0.50487964 -0.53002463  1.03735217
  0.16640869 -1.09179998 -0.37629283  0.14587152  0.14222307  1.07828252
 -0.28914034  1.18847408 -0.43387251 -0.90399555  0.01949141 -0.45682158
 -0.49296412  0.65423762 -0.0966939  -0.50516763  0.00844706  0.61053538
  0.90296959 -0.03860124 -0.44110821 -0.52629878  0.88918215 -0.57603077
  1.08677818 -0.37395292  0.64217811  0.03636753 -0.61062538  2.12445434
  0.19136828 -0.82406077 -0.21750323  0.18062272  0.40498367  0.57856867
  0.45422969 -0.30371975 -0.26026951  0.89317799 -0.8706069  -0.42489087
  0.13207327  0.46542523 -0.26340138 -0.52412087]"
